说明,本表对应 Blood/ResNet/K=3/beta=0.01 的 output-probability t-SNE；LAMP-Merge 概率由 gamma=0.55、s=18.75、tau=2.5、lambda=4.25 正式 checkpoint 重新推理，三个通用基线保持论文原实验概率向量，并在共享 t-SNE 平面重新拟合。
Dataset,Backbone,K,Beta,Method,Sample index,True label,t-SNE x,t-SNE y,Probability class 0,Probability class 1,Probability class 2,Probability class 3,Probability class 4,Probability class 5,Probability class 6,Probability class 7
Blood,ResNet,3,0.01,LAMP-Merge,703,0,47.538517,28.258970,0.14185527,0.01571842,0.00007199,0.37048540,0.00602767,0.45689192,0.00894680,0.00000257
Blood,ResNet,3,0.01,LAMP-Merge,704,2,-64.466354,42.282658,0.00000039,0.00002100,0.96479088,0.00000777,0.00090154,0.00000003,0.00005633,0.03422200
Blood,ResNet,3,0.01,LAMP-Merge,705,3,42.902058,12.458541,0.01192058,0.00000082,0.00000000,0.04091314,0.00000839,0.94715703,0.00000004,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,706,1,-0.128602,-86.687180,0.00007374,0.83949327,0.00000001,0.00680174,0.00000114,0.13979870,0.01383139,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,707,6,-45.434376,-62.342278,0.00000095,0.12992251,0.03572239,0.00010199,0.00020942,0.00000149,0.83217883,0.00186243
Blood,ResNet,3,0.01,LAMP-Merge,708,0,19.982588,21.121492,0.98178387,0.00000014,0.00000000,0.00704599,0.00012643,0.01104362,0.00000000,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,709,4,3.955740,37.005795,0.07078289,0.00011369,0.01095658,0.00429138,0.88613516,0.00109775,0.00025849,0.02636401
Blood,ResNet,3,0.01,LAMP-Merge,710,6,-54.631702,-48.843323,0.00000216,0.07441235,0.00000136,0.00048845,0.00000265,0.00243284,0.92266023,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,711,2,-72.835564,32.177738,0.00000002,0.00008897,0.51755536,0.00000130,0.00040874,0.00000000,0.00019303,0.48175260
Blood,ResNet,3,0.01,LAMP-Merge,712,4,-2.683271,36.595043,0.01768434,0.00000587,0.00187822,0.00250569,0.97745025,0.00001980,0.00000448,0.00045132
Blood,ResNet,3,0.01,LAMP-Merge,713,6,-13.294597,-74.924850,0.01238853,0.26955935,0.02820401,0.25952160,0.15689945,0.01033034,0.26309010,0.00000661
Blood,ResNet,3,0.01,LAMP-Merge,714,3,-28.621799,-79.002899,0.00001188,0.45016229,0.00189598,0.00255565,0.00019485,0.00001967,0.54515374,0.00000586
Blood,ResNet,3,0.01,LAMP-Merge,715,0,36.383595,31.557869,0.55205512,0.00001674,0.00004057,0.42339811,0.02417063,0.00030919,0.00000243,0.00000723
Blood,ResNet,3,0.01,LAMP-Merge,716,5,42.963570,7.745088,0.00976126,0.00034412,0.00000003,0.01075677,0.00002649,0.97901285,0.00009843,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,717,4,3.956030,46.723434,0.00108267,0.00122100,0.35307494,0.03033089,0.58736849,0.00000738,0.00065623,0.02625841
Blood,ResNet,3,0.01,LAMP-Merge,718,2,-62.988697,46.102840,0.00000004,0.00000003,0.98754394,0.00000068,0.00011604,0.00000000,0.00000017,0.01233912
Blood,ResNet,3,0.01,LAMP-Merge,719,7,-90.445335,1.789756,0.00000155,0.00000114,0.00354256,0.00000309,0.00113760,0.00000001,0.00000233,0.99531168
Blood,ResNet,3,0.01,LAMP-Merge,720,6,-54.740341,-54.907917,0.00000067,0.09248552,0.02148196,0.00021724,0.00028328,0.00000451,0.88504213,0.00048472
Blood,ResNet,3,0.01,LAMP-Merge,721,6,-49.867752,-57.772293,0.00000323,0.11546739,0.00000971,0.00016313,0.00001831,0.00043254,0.88390571,0.00000002
Blood,ResNet,3,0.01,LAMP-Merge,722,6,-53.046360,-51.680641,0.00000078,0.08705038,0.00035841,0.00021589,0.00000754,0.00000500,0.91236067,0.00000145
Blood,ResNet,3,0.01,LAMP-Merge,723,7,-88.397095,3.937337,0.00000001,0.00000001,0.00538571,0.00000003,0.00002414,0.00000000,0.00000006,0.99459016
Blood,ResNet,3,0.01,LAMP-Merge,724,3,-17.739563,-86.009163,0.00013807,0.66766620,0.00041028,0.01224143,0.00094291,0.00026736,0.31832999,0.00000382
Blood,ResNet,3,0.01,LAMP-Merge,725,6,-59.052708,-41.376225,0.00000838,0.05135013,0.00037471,0.00123539,0.00021558,0.00012905,0.94668502,0.00000177
Blood,ResNet,3,0.01,LAMP-Merge,726,3,32.525227,28.557505,0.24825284,0.00002721,0.00000021,0.29054716,0.00014479,0.46102443,0.00000333,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,727,1,-5.304320,-93.620514,0.00001522,0.82301867,0.00259845,0.00679993,0.00206518,0.00004010,0.16542488,0.00003756
Blood,ResNet,3,0.01,LAMP-Merge,728,6,-56.520672,-49.193764,0.00001333,0.06373707,0.01688813,0.00086688,0.00073652,0.00004638,0.91768128,0.00003044
Blood,ResNet,3,0.01,LAMP-Merge,729,1,-2.295789,-94.240036,0.00023868,0.84817326,0.00098114,0.00357125,0.00037521,0.00005568,0.14659193,0.00001285
Blood,ResNet,3,0.01,LAMP-Merge,730,3,47.569477,28.047674,0.13674302,0.00015071,0.00000006,0.36314538,0.00092121,0.49903786,0.00000177,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,731,7,-86.736259,-11.384337,0.00000000,0.00000000,0.00094143,0.00000000,0.00000512,0.00000000,0.00000000,0.99905342
Blood,ResNet,3,0.01,LAMP-Merge,732,5,43.317589,3.604837,0.00660119,0.00000365,0.00000000,0.00078255,0.00000192,0.99260724,0.00000346,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,733,1,12.317089,-87.846977,0.00028493,0.92582685,0.00238006,0.03187327,0.01160015,0.00116562,0.02686847,0.00000061
Blood,ResNet,3,0.01,LAMP-Merge,734,6,-57.334610,-44.498676,0.00000261,0.05951615,0.00315518,0.00005279,0.00010954,0.00003138,0.93713212,0.00000020
Blood,ResNet,3,0.01,LAMP-Merge,735,1,-16.783873,-86.935204,0.00007139,0.69382560,0.00038416,0.00252551,0.00116452,0.00187431,0.30015287,0.00000172
Blood,ResNet,3,0.01,LAMP-Merge,736,5,46.285233,2.934540,0.00002385,0.00018757,0.00000000,0.00409559,0.00000041,0.99551219,0.00018034,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,737,4,61.266575,14.927376,0.01371229,0.08988728,0.00041317,0.67470330,0.13968296,0.08024807,0.00135288,0.00000005
Blood,ResNet,3,0.01,LAMP-Merge,738,2,-64.372765,50.618706,0.00000008,0.00055502,0.99802089,0.00001369,0.00016367,0.00000014,0.00097716,0.00026939
Blood,ResNet,3,0.01,LAMP-Merge,739,2,-74.568115,30.348078,0.00000000,0.00000001,0.36283717,0.00000001,0.00002344,0.00000000,0.00000013,0.63713920
Blood,ResNet,3,0.01,LAMP-Merge,740,3,12.062064,42.090275,0.00487010,0.03148562,0.03935857,0.48376265,0.42629415,0.00231170,0.01158380,0.00033338
Blood,ResNet,3,0.01,LAMP-Merge,741,3,-14.085058,-86.860458,0.00022105,0.68073553,0.00837785,0.03867056,0.02222918,0.00022151,0.24951321,0.00003111
Blood,ResNet,3,0.01,LAMP-Merge,742,0,17.711813,31.839266,0.65079939,0.00000360,0.00086848,0.00326995,0.34310156,0.00001428,0.00000351,0.00193923
Blood,ResNet,3,0.01,LAMP-Merge,743,6,-15.580264,62.233513,0.00002045,0.10441796,0.52606720,0.00266984,0.00566510,0.00002454,0.35792926,0.00320564
Blood,ResNet,3,0.01,LAMP-Merge,744,1,9.403347,-92.364418,0.00004927,0.92577922,0.00009160,0.00160614,0.00110077,0.00178835,0.06958432,0.00000043
Blood,ResNet,3,0.01,LAMP-Merge,745,7,-76.193184,29.589193,0.00135190,0.00012298,0.25334021,0.00191644,0.09621140,0.00002110,0.00009913,0.64693677
Blood,ResNet,3,0.01,LAMP-Merge,746,1,-3.686485,-85.871376,0.01679162,0.82395983,0.00027529,0.09419356,0.03191794,0.00766387,0.02519644,0.00000142
Blood,ResNet,3,0.01,LAMP-Merge,747,5,46.153721,3.043492,0.00054111,0.00021679,0.00001137,0.00370588,0.00003444,0.99505782,0.00043254,0.00000001
Blood,ResNet,3,0.01,LAMP-Merge,748,7,-81.529663,-16.091892,0.00000000,0.00000005,0.00037829,0.00000001,0.00000504,0.00000000,0.00000008,0.99961650
Blood,ResNet,3,0.01,LAMP-Merge,749,7,-83.594421,16.375565,0.00003768,0.00000771,0.02446705,0.00010303,0.00693233,0.00000003,0.00000413,0.96844804
Blood,ResNet,3,0.01,LAMP-Merge,750,0,37.581070,14.262293,0.10667863,0.00002359,0.00000000,0.01662189,0.00002010,0.87665504,0.00000068,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,751,6,-56.905224,-47.429237,0.00042075,0.06381816,0.00005576,0.00097564,0.00131552,0.01143184,0.92198068,0.00000172
Blood,ResNet,3,0.01,LAMP-Merge,752,1,-15.155754,-80.122452,0.02579950,0.49581167,0.00054392,0.07593489,0.01886538,0.04681391,0.33620295,0.00002775
Blood,ResNet,3,0.01,LAMP-Merge,753,0,18.662859,30.734224,0.75673819,0.00001459,0.00024119,0.01014990,0.23264128,0.00011109,0.00000538,0.00009843
Blood,ResNet,3,0.01,LAMP-Merge,754,5,42.483482,5.283877,0.01104263,0.00001794,0.00000000,0.00066585,0.00009995,0.98817343,0.00000028,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,755,3,81.469086,-8.069524,0.00026027,0.00009951,0.00000000,0.94800276,0.00000594,0.05162326,0.00000830,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,756,1,-13.161783,-82.840584,0.01439969,0.42156306,0.00038883,0.04870164,0.02798664,0.30725956,0.17969938,0.00000118
Blood,ResNet,3,0.01,LAMP-Merge,757,1,-35.908867,-74.449333,0.00079597,0.29857033,0.00831764,0.00694604,0.01355308,0.01007802,0.66173542,0.00000352
Blood,ResNet,3,0.01,LAMP-Merge,758,3,60.304279,21.170534,0.00050591,0.18415128,0.00001511,0.62878227,0.00133688,0.07897501,0.10623358,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,759,1,46.295612,5.489727,0.00199380,0.00561784,0.00000000,0.00186229,0.00000889,0.98994935,0.00056779,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,760,7,-78.253616,24.414709,0.00000041,0.00000788,0.12185571,0.00000960,0.00053090,0.00000002,0.00001188,0.87758362
Blood,ResNet,3,0.01,LAMP-Merge,761,0,20.587255,24.056625,0.95115352,0.00018302,0.00001967,0.02270981,0.00390302,0.02191542,0.00010297,0.00001255
Blood,ResNet,3,0.01,LAMP-Merge,762,7,-89.830719,-0.089828,0.00000004,0.00000002,0.00351610,0.00000005,0.00009113,0.00000000,0.00000002,0.99639267
Blood,ResNet,3,0.01,LAMP-Merge,763,6,-19.300858,-84.743469,0.00002716,0.63499182,0.00019119,0.01290442,0.00046666,0.00016407,0.35125417,0.00000049
Blood,ResNet,3,0.01,LAMP-Merge,764,6,-68.180130,-31.026243,0.00000333,0.01299231,0.00007094,0.00007615,0.00003952,0.00164332,0.98517436,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,765,6,-55.581997,-47.050583,0.00000090,0.06929553,0.00004214,0.00003070,0.00000697,0.00006522,0.93055838,0.00000009
Blood,ResNet,3,0.01,LAMP-Merge,766,1,16.461590,-90.154732,0.00002122,0.96577102,0.00000711,0.00055909,0.00032493,0.00046049,0.03285605,0.00000008
Blood,ResNet,3,0.01,LAMP-Merge,767,3,9.642919,35.622952,0.28502077,0.00033417,0.00077172,0.06362827,0.64870638,0.00115805,0.00003506,0.00034557
Blood,ResNet,3,0.01,LAMP-Merge,768,7,-88.305649,4.334104,0.00000041,0.00000008,0.00542022,0.00000023,0.00038919,0.00000000,0.00000015,0.99418974
Blood,ResNet,3,0.01,LAMP-Merge,769,2,-64.031647,42.736168,0.00000628,0.00035881,0.96778584,0.00004089,0.00546485,0.00000115,0.00109570,0.02524648
Blood,ResNet,3,0.01,LAMP-Merge,770,4,1.491155,39.299633,0.01899762,0.00448823,0.00467596,0.03526604,0.92490375,0.01099154,0.00064798,0.00002877
Blood,ResNet,3,0.01,LAMP-Merge,771,4,6.558768,41.179634,0.02135388,0.00317056,0.00284448,0.17926785,0.79204774,0.00042028,0.00029447,0.00060065
Blood,ResNet,3,0.01,LAMP-Merge,772,6,-36.426903,-74.303528,0.00000353,0.30144420,0.01669432,0.00237112,0.00011003,0.00001201,0.67919582,0.00016887
Blood,ResNet,3,0.01,LAMP-Merge,773,3,12.214183,42.526138,0.00449213,0.06745626,0.08759711,0.45620757,0.36513281,0.00090819,0.01750649,0.00069940
Blood,ResNet,3,0.01,LAMP-Merge,774,1,13.514052,-91.217186,0.00000035,0.95235437,0.00000001,0.00019437,0.00000005,0.00043423,0.04701652,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,775,7,-76.641754,26.960718,0.00000094,0.00000117,0.19166815,0.00000221,0.00034256,0.00000000,0.00000928,0.80797571
Blood,ResNet,3,0.01,LAMP-Merge,776,5,46.856918,-2.719795,0.00003587,0.00000008,0.00000000,0.00010775,0.00000012,0.99985611,0.00000005,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,777,4,3.924147,45.155231,0.00130302,0.06810517,0.16910678,0.02327527,0.68206340,0.00037333,0.03816130,0.01761164
Blood,ResNet,3,0.01,LAMP-Merge,778,1,5.401105,-93.578415,0.00001706,0.90102124,0.00003072,0.00225541,0.00020611,0.00221775,0.09425163,0.00000001
Blood,ResNet,3,0.01,LAMP-Merge,779,1,16.950880,-88.377747,0.00000712,0.96684152,0.00002050,0.01106545,0.00004361,0.00013772,0.02188405,0.00000001
Blood,ResNet,3,0.01,LAMP-Merge,780,5,-19.306473,-84.890236,0.00000390,0.64141256,0.00001108,0.00166958,0.00005905,0.00111635,0.35572746,0.00000006
Blood,ResNet,3,0.01,LAMP-Merge,781,6,-36.346954,-62.470497,0.00002458,0.08539408,0.13536021,0.00036839,0.00377492,0.00000869,0.63662463,0.13844445
Blood,ResNet,3,0.01,LAMP-Merge,782,6,-50.623375,-56.864929,0.00000707,0.10787801,0.00056623,0.00344051,0.00006193,0.00009384,0.88794619,0.00000621
Blood,ResNet,3,0.01,LAMP-Merge,783,1,17.020803,-86.855240,0.00008671,0.96474421,0.00000305,0.00987004,0.00080759,0.01727428,0.00721403,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,784,7,-83.133125,-14.966864,0.00000001,0.00000004,0.00050771,0.00000003,0.00005506,0.00000000,0.00000005,0.99943715
Blood,ResNet,3,0.01,LAMP-Merge,785,1,-18.573790,-85.580757,0.00000002,0.65853268,0.00000019,0.00001633,0.00000018,0.00009747,0.34135306,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,786,3,32.114635,28.547701,0.32512850,0.00000056,0.00000084,0.22232139,0.00072499,0.45182344,0.00000034,0.00000002
Blood,ResNet,3,0.01,LAMP-Merge,787,2,-63.854366,43.298630,0.00000012,0.00000055,0.97423744,0.00000030,0.00017143,0.00000001,0.00001493,0.02557525
Blood,ResNet,3,0.01,LAMP-Merge,788,7,-80.556320,-16.850456,0.00000000,0.00000000,0.00026046,0.00000000,0.00000206,0.00000000,0.00000001,0.99973744
Blood,ResNet,3,0.01,LAMP-Merge,789,5,44.068790,9.420484,0.00011049,0.00045936,0.00000003,0.02478848,0.00001679,0.97446412,0.00016074,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,790,2,-49.836620,61.194080,0.00000118,0.02980230,0.90295506,0.00051238,0.00345189,0.00000044,0.03500015,0.02827660
Blood,ResNet,3,0.01,LAMP-Merge,791,2,-73.712456,31.250568,0.00000051,0.00028698,0.42813206,0.00003190,0.00460508,0.00000016,0.00275145,0.56419194
Blood,ResNet,3,0.01,LAMP-Merge,792,3,81.828369,-3.749877,0.03849278,0.00045625,0.00001541,0.90250993,0.01561098,0.04282468,0.00008994,0.00000002
Blood,ResNet,3,0.01,LAMP-Merge,793,0,19.232786,19.001324,0.99307936,0.00000077,0.00000001,0.00095096,0.00078346,0.00518530,0.00000005,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,794,5,42.885288,14.060227,0.01827198,0.00043106,0.00000152,0.06159959,0.00022893,0.91925782,0.00020900,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,795,6,-30.342560,-78.062576,0.00000006,0.42170531,0.00002876,0.00003388,0.00000226,0.00001217,0.57821751,0.00000004
Blood,ResNet,3,0.01,LAMP-Merge,796,6,-61.543602,-38.150841,0.00000220,0.04236845,0.00017736,0.00053121,0.00001741,0.00012080,0.95678252,0.00000002
Blood,ResNet,3,0.01,LAMP-Merge,797,7,-90.133804,-2.948133,0.00000000,0.00000002,0.00268004,0.00000001,0.00000556,0.00000000,0.00000012,0.99731427
Blood,ResNet,3,0.01,LAMP-Merge,798,3,40.969002,43.842186,0.01346545,0.05953120,0.00052293,0.43572095,0.02500655,0.41468441,0.05106836,0.00000015
Blood,ResNet,3,0.01,LAMP-Merge,799,5,44.112141,9.257639,0.00058087,0.00025113,0.00000004,0.02347615,0.00002220,0.97560591,0.00006376,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,800,3,71.472038,-41.560188,0.00181455,0.00102836,0.00000327,0.99628830,0.00064131,0.00019852,0.00002570,0.00000003
Blood,ResNet,3,0.01,LAMP-Merge,801,6,-58.104877,-52.718159,0.00000447,0.03507198,0.07065681,0.00006904,0.00129963,0.00000340,0.87285835,0.02003639
Blood,ResNet,3,0.01,LAMP-Merge,802,4,9.598582,41.668320,0.03104348,0.02515723,0.00032285,0.31744656,0.60065454,0.02453251,0.00082324,0.00001966
Blood,ResNet,3,0.01,LAMP-Merge,803,3,75.701958,4.328579,0.02343359,0.05172659,0.00122823,0.89706564,0.00516140,0.01782910,0.00355485,0.00000053
Blood,ResNet,3,0.01,LAMP-Merge,804,4,3.813322,44.599030,0.00232182,0.00060996,0.20388061,0.02781905,0.76364768,0.00010677,0.00017901,0.00143506
Blood,ResNet,3,0.01,LAMP-Merge,805,3,29.145321,27.722130,0.57470483,0.00001541,0.00000123,0.08185073,0.00251052,0.34090167,0.00001553,0.00000004
Blood,ResNet,3,0.01,LAMP-Merge,806,7,-81.495636,19.423792,0.00000234,0.00000255,0.04437703,0.00000278,0.00054465,0.00000001,0.00000207,0.95506871
Blood,ResNet,3,0.01,LAMP-Merge,807,1,16.576679,-89.475792,0.00002498,0.96451956,0.00153954,0.00426737,0.00118364,0.00112259,0.02734191,0.00000045
Blood,ResNet,3,0.01,LAMP-Merge,808,7,-89.816559,-5.554743,0.00000000,0.00000000,0.00200416,0.00000000,0.00000058,0.00000000,0.00000000,0.99799526
Blood,ResNet,3,0.01,LAMP-Merge,809,6,-24.233612,-78.682945,0.00010884,0.41113123,0.10836447,0.03278310,0.03406771,0.00006181,0.41045427,0.00302853
Blood,ResNet,3,0.01,LAMP-Merge,810,6,-62.374317,-37.338276,0.00000017,0.03928242,0.00000034,0.00001076,0.00000003,0.00094491,0.95976138,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,811,6,-37.744743,-73.593895,0.00000010,0.28887939,0.00000753,0.00007148,0.00000269,0.00001556,0.71102321,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,812,6,-31.234884,-77.574944,0.00005991,0.39793199,0.00370704,0.00416021,0.00027672,0.00016890,0.59368646,0.00000879
Blood,ResNet,3,0.01,LAMP-Merge,813,6,-53.102779,-56.487968,0.00013220,0.08460606,0.00039324,0.02285182,0.00077260,0.01314594,0.87809789,0.00000021
Blood,ResNet,3,0.01,LAMP-Merge,814,3,35.913578,41.433769,0.03257367,0.21283197,0.00004176,0.18511489,0.00951309,0.39945900,0.16046536,0.00000029
Blood,ResNet,3,0.01,LAMP-Merge,815,1,-24.329294,-81.254829,0.00000488,0.53561479,0.00000168,0.00647234,0.00000399,0.00409431,0.45380804,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,816,6,-51.291801,-56.673325,0.00000797,0.10310770,0.00915007,0.00104798,0.00004872,0.00009876,0.88653833,0.00000056
Blood,ResNet,3,0.01,LAMP-Merge,817,4,9.968729,35.302193,0.34995908,0.00037319,0.00250366,0.01946842,0.62528956,0.00232427,0.00002917,0.00005263
Blood,ResNet,3,0.01,LAMP-Merge,818,6,-37.393990,-73.863976,0.00000043,0.29523236,0.00001167,0.00051237,0.00000861,0.00047418,0.70376033,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,819,6,-35.520618,-64.206749,0.00002006,0.18121193,0.14247273,0.00195057,0.01222092,0.00000582,0.56640428,0.09571371
Blood,ResNet,3,0.01,LAMP-Merge,820,2,-63.553539,50.237278,0.00001015,0.00026937,0.99514163,0.00016723,0.00287820,0.00000863,0.00150713,0.00001764
Blood,ResNet,3,0.01,LAMP-Merge,821,3,67.176971,16.347342,0.15059850,0.00017855,0.00004217,0.78473908,0.00372081,0.06065680,0.00005389,0.00001019
Blood,ResNet,3,0.01,LAMP-Merge,822,1,-12.579577,-89.509621,0.00003718,0.73455733,0.00000010,0.00043672,0.00000198,0.03134955,0.23361722,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,823,2,-64.918289,50.600723,0.00000009,0.00001031,0.99950171,0.00001111,0.00003886,0.00000001,0.00008212,0.00035579
Blood,ResNet,3,0.01,LAMP-Merge,824,6,-37.776882,-63.497608,0.00004215,0.13860975,0.16437349,0.00533331,0.00433605,0.00041400,0.68679422,0.00009707
Blood,ResNet,3,0.01,LAMP-Merge,825,1,16.736586,-90.049934,0.00000008,0.96765894,0.00000001,0.00010635,0.00000014,0.00030251,0.03193203,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,826,4,-0.073398,38.929390,0.00794020,0.00035043,0.00033425,0.02955255,0.95977610,0.00193361,0.00009108,0.00002188
Blood,ResNet,3,0.01,LAMP-Merge,827,6,-38.367722,-73.001694,0.00000251,0.27452680,0.00195119,0.00051864,0.00007233,0.00000809,0.72289556,0.00002494
Blood,ResNet,3,0.01,LAMP-Merge,828,2,-65.452568,40.556793,0.00008169,0.00003284,0.93397325,0.00012076,0.02212895,0.00000069,0.00003213,0.04362955
Blood,ResNet,3,0.01,LAMP-Merge,829,3,60.032455,13.731803,0.01405729,0.00904131,0.02698042,0.68371475,0.26148632,0.00009761,0.00249160,0.00213069
Blood,ResNet,3,0.01,LAMP-Merge,830,6,-34.012882,-71.175720,0.00115349,0.25864929,0.00000517,0.07172136,0.00007682,0.07714329,0.59125060,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,831,3,-9.287329,-76.493134,0.00084158,0.41923869,0.00101702,0.48014271,0.00432976,0.01643647,0.07798804,0.00000568
Blood,ResNet,3,0.01,LAMP-Merge,832,3,11.873207,43.681049,0.04639661,0.10067448,0.10368179,0.35807025,0.28297392,0.02383815,0.08290613,0.00145873
Blood,ResNet,3,0.01,LAMP-Merge,833,3,61.727062,12.508416,0.00286733,0.01160340,0.04680320,0.75207615,0.15908878,0.00151964,0.02520609,0.00083532
Blood,ResNet,3,0.01,LAMP-Merge,834,0,20.422298,23.921749,0.95580107,0.00000248,0.00000005,0.02455532,0.00044106,0.01919987,0.00000013,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,835,3,72.835655,-18.873962,0.00182552,0.00125132,0.00000221,0.97713542,0.00245868,0.01721833,0.00010848,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,836,0,20.324259,25.207472,0.93436265,0.00066959,0.00000037,0.02220668,0.02314244,0.01961303,0.00000516,0.00000010
Blood,ResNet,3,0.01,LAMP-Merge,837,6,-66.644989,-32.713642,0.00000741,0.02321658,0.00023406,0.00009561,0.00006330,0.00007718,0.97630376,0.00000204
Blood,ResNet,3,0.01,LAMP-Merge,838,3,-13.462180,-79.739632,0.00020214,0.53728610,0.00286035,0.18160550,0.00354377,0.00362322,0.27085993,0.00001903
Blood,ResNet,3,0.01,LAMP-Merge,839,6,-9.923581,-77.682884,0.00214386,0.49521908,0.00183890,0.35431698,0.11260723,0.01380487,0.02006376,0.00000534
Blood,ResNet,3,0.01,LAMP-Merge,840,7,-82.262474,17.957230,0.00001214,0.00000029,0.03435397,0.00000621,0.00121444,0.00000002,0.00000115,0.96441180
Blood,ResNet,3,0.01,LAMP-Merge,841,3,7.830455,41.584064,0.01007534,0.00279149,0.09914190,0.19484338,0.68696421,0.00010240,0.00043947,0.00564180
Blood,ResNet,3,0.01,LAMP-Merge,842,7,-82.375328,20.399033,0.00834920,0.00000021,0.03040318,0.00010185,0.02015885,0.00000021,0.00000078,0.94098568
Blood,ResNet,3,0.01,LAMP-Merge,843,4,2.533710,44.734203,0.00010027,0.00117452,0.07447012,0.00186215,0.77574188,0.00000279,0.00038724,0.14626108
Blood,ResNet,3,0.01,LAMP-Merge,844,6,-49.998741,-57.553303,0.00000002,0.11449319,0.00000932,0.00002106,0.00000025,0.00000160,0.88547468,0.00000002
Blood,ResNet,3,0.01,LAMP-Merge,845,4,-3.328249,36.760006,0.01288066,0.00029585,0.00105757,0.00409585,0.98062801,0.00097377,0.00003317,0.00003511
Blood,ResNet,3,0.01,LAMP-Merge,846,1,-4.724972,-85.438301,0.00004771,0.75316811,0.00001859,0.22507147,0.00007105,0.01047130,0.01115175,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,847,1,-28.919464,-78.790367,0.00004235,0.43423352,0.01079882,0.00696687,0.00321981,0.00004263,0.54411507,0.00058093
Blood,ResNet,3,0.01,LAMP-Merge,848,2,-82.063454,18.215473,0.00000000,0.00000003,0.03643018,0.00000006,0.00000856,0.00000000,0.00000031,0.96356082
Blood,ResNet,3,0.01,LAMP-Merge,849,2,-15.550507,62.288231,0.00039239,0.10747817,0.53008062,0.00960811,0.02857901,0.00015940,0.31946117,0.00424112
Blood,ResNet,3,0.01,LAMP-Merge,850,6,-56.772182,-45.047153,0.00000007,0.06291933,0.00002249,0.00004680,0.00000281,0.00010965,0.93689883,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,851,7,-75.926529,28.335455,0.00011618,0.00010243,0.24542490,0.00021173,0.00556391,0.00000099,0.00022721,0.74835271
Blood,ResNet,3,0.01,LAMP-Merge,852,3,38.308659,31.207872,0.34265977,0.00001591,0.00000164,0.55342346,0.10006721,0.00383143,0.00000043,0.00000013
Blood,ResNet,3,0.01,LAMP-Merge,853,3,58.894176,15.432129,0.00252088,0.11078721,0.00613290,0.54369360,0.23862103,0.01877571,0.07941320,0.00005550
Blood,ResNet,3,0.01,LAMP-Merge,854,6,-54.070190,-60.723900,0.00001842,0.03623047,0.00000107,0.00026137,0.00001487,0.11852448,0.84494925,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,855,1,6.076671,-93.499321,0.00000065,0.90617776,0.00000014,0.00019407,0.00000019,0.00425868,0.08936850,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,856,6,-50.616234,-56.678867,0.00000216,0.10872947,0.00077992,0.00033194,0.00006902,0.00002059,0.89005208,0.00001475
Blood,ResNet,3,0.01,LAMP-Merge,857,3,81.738319,-3.886194,0.04954926,0.00000828,0.00000118,0.92027676,0.00031321,0.02985023,0.00000105,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,858,7,-66.389870,39.294304,0.00012813,0.00504766,0.90699852,0.00163398,0.01389829,0.00003890,0.01069618,0.06155837
Blood,ResNet,3,0.01,LAMP-Merge,859,5,41.357433,8.005648,0.02017527,0.00001077,0.00000068,0.00197664,0.00004731,0.97775924,0.00003021,0.00000001
Blood,ResNet,3,0.01,LAMP-Merge,860,6,-50.697384,-56.550549,0.00000181,0.10803256,0.00077951,0.00029605,0.00016706,0.00004264,0.89067823,0.00000210
