dataset,backbone,num_clients,beta,method,sample_index,true_label,tsne_x,tsne_y,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2828,7,-80.910835,23.704348,0.00000017,0.00000022,0.06372087,0.00000126,0.00019155,0.00000000,0.00000032,0.93608564
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2829,3,64.611984,6.085865,0.00792989,0.00460933,0.00028326,0.90402132,0.07436755,0.00860617,0.00018201,0.00000057
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2830,3,45.287117,27.087605,0.00244760,0.00047557,0.00000001,0.33434027,0.00002610,0.66266650,0.00004391,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2831,6,-38.824554,-58.748981,0.00037992,0.07110114,0.11334917,0.00058285,0.01079907,0.00010235,0.76256865,0.04111692
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2832,6,-43.634239,-63.549831,0.00000020,0.18591392,0.00502578,0.00039903,0.00004435,0.00003199,0.80858433,0.00000039
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2833,2,-64.732788,51.627964,0.00000005,0.00002693,0.99974424,0.00000102,0.00007602,0.00000001,0.00008118,0.00007062
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2834,7,-94.748779,-10.365613,0.00000000,0.00000000,0.00059929,0.00000002,0.00000617,0.00000000,0.00000000,0.99939454
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2835,6,63.044781,32.425117,0.00018778,0.16518502,0.04800708,0.60130614,0.03227275,0.00145498,0.15158461,0.00000161
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2836,6,-40.635857,-64.873787,0.00038478,0.18648939,0.03592413,0.00315282,0.01083785,0.00341479,0.75975746,0.00003878
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2837,5,40.911087,14.949729,0.00138352,0.00360505,0.00000007,0.01443359,0.00014387,0.98038173,0.00005202,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2838,1,-2.595920,-92.836929,0.00000938,0.87329620,0.00027614,0.00919229,0.00054226,0.00119488,0.11548873,0.00000012
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2839,1,3.290504,-93.252373,0.00000053,0.91170412,0.00000012,0.00104731,0.00000283,0.00065460,0.08659045,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2840,1,-26.420156,-77.573418,0.00001107,0.51859045,0.00000266,0.00153406,0.00003335,0.00731480,0.47251356,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2841,2,-59.169746,48.693691,0.00002737,0.00144176,0.98250777,0.00187791,0.01272419,0.00001761,0.00133573,0.00006776
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2842,1,-2.322705,-85.805443,0.00002893,0.81882775,0.00000000,0.00127881,0.00000030,0.10879569,0.07106853,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2843,0,63.522610,30.528580,0.06721608,0.15555881,0.00092786,0.63091445,0.13078395,0.00369559,0.01041607,0.00048716
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2844,6,-49.019859,-53.458355,0.00000192,0.10264354,0.00000026,0.00005379,0.00000081,0.00210489,0.89519477,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2845,3,24.101198,28.915634,0.71694338,0.00000206,0.00000212,0.02691404,0.00375733,0.25237837,0.00000270,0.00000002
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2846,2,-11.444468,76.899803,0.00082110,0.12052922,0.66335219,0.05279531,0.09911741,0.03772132,0.02566294,0.00000045
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2847,3,-12.339463,-77.946022,0.00103661,0.65566319,0.00001201,0.21872170,0.00248397,0.01509980,0.10698263,0.00000003
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2848,1,47.387951,43.948704,0.02777698,0.08399009,0.00000178,0.52761978,0.00822767,0.35223290,0.00015086,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2849,4,-5.227381,39.841629,0.00231369,0.00003252,0.00201449,0.00052747,0.97456372,0.00000883,0.00000967,0.02052959
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2850,4,-3.310771,36.697872,0.02118591,0.00000403,0.00011802,0.00261141,0.97604251,0.00003192,0.00000020,0.00000591
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2851,4,1.637754,37.274437,0.06812049,0.00000158,0.00708057,0.00015495,0.92239696,0.00000368,0.00000067,0.00224120
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2852,4,-4.084695,37.142780,0.01296215,0.00002867,0.00024159,0.00793401,0.97780085,0.00100322,0.00001739,0.00001213
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2853,7,-94.105774,-6.212728,0.00000000,0.00000000,0.00100440,0.00000000,0.00000118,0.00000000,0.00000000,0.99899441
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2854,1,4.125225,-93.272957,0.00000000,0.91859049,0.00000050,0.00001126,0.00000010,0.00002835,0.08136922,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2855,5,29.559334,30.538237,0.33612558,0.00059510,0.00001120,0.27612251,0.00907064,0.37803146,0.00004353,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2856,3,74.184479,-28.313816,0.00709851,0.00268043,0.00008947,0.98505801,0.00461648,0.00034148,0.00010876,0.00000690
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2857,2,-63.040493,46.336288,0.00000007,0.00000171,0.98873198,0.00000061,0.00010722,0.00000001,0.00000414,0.01115424
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2858,2,-63.046551,46.320763,0.00000008,0.00000032,0.98869973,0.00000103,0.00003793,0.00000003,0.00001130,0.01124959
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2859,6,-50.703331,-49.550415,0.00002504,0.08434671,0.00052332,0.00141381,0.00010835,0.00003905,0.91353446,0.00000924
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2860,1,18.991619,-89.043320,0.00000559,0.98797011,0.00000070,0.00201002,0.00001210,0.00078386,0.00921753,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2861,6,-28.029707,-76.516632,0.00005229,0.48063856,0.00186606,0.00284250,0.00037059,0.00033024,0.51389045,0.00000932
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2862,4,-2.639032,42.487900,0.00090991,0.00000290,0.00707608,0.00005091,0.91850549,0.00000011,0.00000082,0.07345371
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2863,7,-90.620888,2.977926,0.00000001,0.00000001,0.00279443,0.00000024,0.00010108,0.00000000,0.00000000,0.99710423
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2864,2,-64.344177,42.617733,0.00000004,0.00000004,0.96884626,0.00000033,0.00012757,0.00000000,0.00000007,0.03102565
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2865,3,64.845718,18.750727,0.14942263,0.00000266,0.00000000,0.75035644,0.00017734,0.10004094,0.00000002,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2866,3,55.792274,51.691654,0.00578178,0.21509570,0.00081380,0.49763852,0.11044843,0.08373675,0.08645945,0.00002558
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2867,7,-94.164864,-13.024528,0.00000005,0.00000000,0.00038926,0.00000005,0.00010699,0.00000000,0.00000000,0.99950373
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2868,7,-72.916893,32.352978,0.00002427,0.00009891,0.46902582,0.00002593,0.00059259,0.00000056,0.00049269,0.52973920
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2869,3,64.532021,7.251532,0.00095990,0.04597613,0.00180409,0.87039638,0.07480904,0.00102542,0.00500723,0.00002184
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2870,3,65.707565,-11.793786,0.00130261,0.00057590,0.00133595,0.96161938,0.03441770,0.00069234,0.00004081,0.00001538
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2871,1,-70.826508,31.700651,0.00007937,0.25423887,0.35311842,0.01381992,0.03682692,0.00001410,0.05466804,0.28723443
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2872,0,16.435585,28.349501,0.92980886,0.00008730,0.00000454,0.01302555,0.05687036,0.00019569,0.00000493,0.00000279
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2873,6,-71.530769,-35.069107,0.00000012,0.01154130,0.00016374,0.00001316,0.00000360,0.00077322,0.98750478,0.00000002
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2874,7,-94.445915,-7.727569,0.00000002,0.00000002,0.00080596,0.00000004,0.00003111,0.00000000,0.00000005,0.99916291
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2875,1,18.729836,-88.774910,0.00000841,0.98539007,0.00007378,0.00632532,0.00072420,0.00001152,0.00746591,0.00000076
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2876,0,16.610224,30.957232,0.84463334,0.00001396,0.00011391,0.00032363,0.15476443,0.00012452,0.00002027,0.00000590
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2877,7,-94.699860,-13.824333,0.00000000,0.00000001,0.00041006,0.00000001,0.00000047,0.00000000,0.00000007,0.99958938
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2878,5,63.493298,37.291687,0.04493091,0.02524129,0.00034794,0.65881574,0.12322433,0.14603585,0.00140328,0.00000072
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2879,2,-63.075970,46.077656,0.00000001,0.00000023,0.98761576,0.00000132,0.00009048,0.00000000,0.00000061,0.01229153
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2880,2,5.464146,37.040665,0.16741137,0.00123531,0.00741776,0.05084457,0.77202624,0.00020746,0.00007557,0.00078180
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2881,7,-94.677010,-9.254269,0.00000000,0.00000000,0.00068780,0.00000000,0.00000119,0.00000000,0.00000000,0.99931097
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2882,6,-48.022980,-56.890987,0.00009722,0.11186308,0.00428223,0.01421398,0.00231132,0.00146449,0.86576754,0.00000014
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2883,5,40.719353,8.281346,0.00318092,0.00000148,0.00000000,0.00035143,0.00000519,0.99646097,0.00000012,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2884,1,3.803597,-93.208694,0.00000112,0.91569221,0.00013788,0.00137959,0.00002332,0.00004601,0.08271987,0.00000002
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2885,6,-68.753242,-35.271923,0.00007470,0.01839390,0.00077190,0.00209237,0.00023828,0.00013906,0.97828841,0.00000128
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2886,5,40.790028,23.755579,0.01125945,0.00014044,0.00000010,0.12066876,0.00057699,0.86733979,0.00001450,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2887,3,49.982384,27.887735,0.00264819,0.00020230,0.00000005,0.55063063,0.00038514,0.44609800,0.00003571,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2888,6,-36.112122,-58.715141,0.00002388,0.12011731,0.27504358,0.00148817,0.01561094,0.00002423,0.58681166,0.00088023
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2889,1,-6.844136,-84.941025,0.00025238,0.74542731,0.00142942,0.14249539,0.03409495,0.00423644,0.07206126,0.00000294
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2890,1,14.101077,-88.368843,0.00000270,0.96284014,0.00000003,0.01046117,0.00000233,0.01185641,0.01483728,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2891,2,-64.664528,42.006111,0.00000013,0.00000240,0.96127671,0.00000046,0.00022385,0.00000000,0.00009242,0.03840401
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2892,5,38.699654,18.119188,0.02089612,0.00001174,0.00000043,0.02244377,0.00022946,0.95633030,0.00008823,0.00000003
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2893,7,-84.008156,17.214012,0.00000412,0.00000012,0.02043947,0.00000166,0.00055379,0.00000000,0.00000052,0.97900039
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2894,5,42.844330,8.042487,0.00068771,0.00017602,0.00000000,0.00186263,0.00000261,0.99716836,0.00010271,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2895,4,3.134905,37.024696,0.10558566,0.00000952,0.00003227,0.00129284,0.88996583,0.00310672,0.00000608,0.00000110
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2896,7,-94.674049,-13.720435,0.00000002,0.00000000,0.00040956,0.00000002,0.00001101,0.00000000,0.00000002,0.99957937
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2897,0,23.186258,28.807213,0.75542891,0.00104972,0.00000346,0.00299792,0.02984382,0.21063463,0.00004143,0.00000002
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2898,2,-69.955536,35.590122,0.00000002,0.00000002,0.73509270,0.00000011,0.00003157,0.00000000,0.00000005,0.26487553
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2899,2,-60.895992,49.384155,0.00000431,0.00111235,0.98993546,0.00001442,0.00466052,0.00000351,0.00283976,0.00142970
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2900,6,-35.498398,-58.405666,0.00003618,0.13816011,0.33543542,0.01320058,0.01222569,0.00009863,0.47871810,0.02212521
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2901,7,-87.268074,10.517606,0.00000003,0.00000000,0.00757315,0.00000005,0.00002506,0.00000000,0.00000000,0.99240172
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2902,1,-10.702084,-90.901642,0.00036348,0.80574572,0.00099040,0.00818571,0.00455704,0.00018584,0.17991929,0.00005256
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2903,1,4.147691,-89.517380,0.00054946,0.90382689,0.00004759,0.04424315,0.00148624,0.00273246,0.04711240,0.00000186
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2904,2,-73.931381,31.454784,0.00000000,0.00000035,0.38502318,0.00000005,0.00001927,0.00000000,0.00000163,0.61495548
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2905,0,16.629221,21.801498,0.99011010,0.00001826,0.00000162,0.00338610,0.00274600,0.00373653,0.00000135,0.00000010
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2906,0,20.719934,32.028435,0.74431270,0.00000694,0.00000008,0.24825062,0.00397785,0.00345175,0.00000007,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2907,6,-57.818546,-37.652920,0.00000008,0.04494728,0.00000055,0.00001207,0.00000012,0.00001810,0.95502174,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2908,2,49.088821,27.903505,0.02033530,0.00044123,0.00000013,0.50154239,0.00124717,0.47642568,0.00000809,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2909,7,-94.195686,-19.812309,0.00000000,0.00000000,0.00004150,0.00000000,0.00000165,0.00000000,0.00000000,0.99995685
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2910,1,6.020270,-88.545197,0.00000450,0.89078140,0.00000001,0.00218917,0.00000100,0.06308612,0.04393784,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2911,2,-75.071655,30.351128,0.00035100,0.00001751,0.29011402,0.00018631,0.02036765,0.00000139,0.00006192,0.68890017
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2912,6,-66.276985,-35.237251,0.00000012,0.02452070,0.00003066,0.00004208,0.00000240,0.00151650,0.97388750,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2913,2,-63.807915,43.482933,0.00000449,0.00000600,0.97478557,0.00004380,0.00450834,0.00000004,0.00000943,0.02064233
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2914,5,29.067175,29.555187,0.36507699,0.00239116,0.00015909,0.13757320,0.12490681,0.36819586,0.00169315,0.00000371
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2915,1,-13.888454,-76.967361,0.00411779,0.48950398,0.00096399,0.28265980,0.00886938,0.01251814,0.20136465,0.00000230
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2916,6,-47.180763,-57.467808,0.00000786,0.12882665,0.00061964,0.00053351,0.00013542,0.00005641,0.86981499,0.00000554
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2917,6,-43.204601,-60.322418,0.00002892,0.13993332,0.04395008,0.00199668,0.00782237,0.00006588,0.80588758,0.00031519
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2918,6,-54.277531,-48.082592,0.00002889,0.06313297,0.01713155,0.00040968,0.00450185,0.00005998,0.91278487,0.00195019
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2919,6,-58.140430,-37.650536,0.00000000,0.04335457,0.00222511,0.00001068,0.00000245,0.00000038,0.95439661,0.00001018
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2920,5,42.989864,3.910229,0.00038662,0.00000169,0.00000001,0.00009557,0.00000642,0.99950612,0.00000357,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2921,3,73.790459,-42.755154,0.00091961,0.00093673,0.00019767,0.99644899,0.00137075,0.00006667,0.00004323,0.00001645
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2922,2,-71.514816,33.816856,0.00000000,0.00000001,0.60407382,0.00000001,0.00001240,0.00000000,0.00000024,0.39591351
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2923,4,0.166497,40.311749,0.01282973,0.01271591,0.02004130,0.02677334,0.91947138,0.00502949,0.00309924,0.00003957
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2924,4,-1.361087,41.471195,0.01409695,0.00000717,0.04622423,0.00079147,0.93018270,0.00000089,0.00000201,0.00869456
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2925,5,53.368870,28.053885,0.03053351,0.00011985,0.00000000,0.65079635,0.00005326,0.31849679,0.00000024,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2926,3,69.481537,-11.854375,0.00017933,0.02291706,0.00083750,0.96068388,0.01232516,0.00216147,0.00089159,0.00000397
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2927,6,-32.247696,-72.678207,0.00003848,0.34890303,0.01050193,0.04477011,0.00172636,0.00031944,0.59373957,0.00000111
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2928,3,39.568954,18.209097,0.01225907,0.00010366,0.00000001,0.02855847,0.00126570,0.95780945,0.00000373,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2929,7,-83.666206,17.920298,0.00000001,0.00000001,0.02313156,0.00000004,0.00005004,0.00000000,0.00000001,0.97681844
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2930,2,-63.611534,44.146427,0.00000308,0.00002975,0.97974831,0.00009096,0.00208562,0.00000071,0.00028066,0.01776097
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2931,1,2.849180,-91.340721,0.00111164,0.89544296,0.00527799,0.00836040,0.01123642,0.00030868,0.07818564,0.00007635
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2932,6,-72.321373,-35.095467,0.00000000,0.00648912,0.00000007,0.00000239,0.00000000,0.00002622,0.99348217,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2933,3,66.932671,-25.468336,0.00214325,0.00775947,0.00018413,0.98378986,0.00331705,0.00131150,0.00149062,0.00000410
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2934,1,-4.003504,-93.140732,0.00000121,0.86570877,0.00146178,0.00066929,0.00080586,0.00000348,0.13122505,0.00012450
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2935,5,81.252655,-8.185902,0.00172126,0.00019237,0.00000001,0.94567239,0.00008156,0.05233046,0.00000191,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2936,0,15.735402,19.615978,0.99816471,0.00000067,0.00000051,0.00004945,0.00139074,0.00039274,0.00000081,0.00000034
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2937,4,0.524418,45.279011,0.00013148,0.00000326,0.10023993,0.00010324,0.74156058,0.00000007,0.00000179,0.15795964
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2938,7,-84.078270,17.255760,0.00000443,0.00003995,0.01984360,0.00000518,0.00184888,0.00000004,0.00007844,0.97817945
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2939,2,-11.930695,-77.771095,0.00044021,0.67638397,0.00485963,0.27233264,0.01998769,0.01228140,0.01371428,0.00000011
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2940,6,-52.423195,-47.283443,0.00000364,0.06971242,0.00828275,0.00085799,0.00023939,0.00000142,0.91839308,0.00250927
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2941,2,-42.485920,55.124622,0.00008170,0.01384694,0.87644690,0.05501404,0.02941209,0.00002602,0.00508430,0.02008793
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2942,3,64.751572,5.044941,0.00559377,0.00208301,0.00178330,0.92898726,0.05973899,0.00106590,0.00073844,0.00000938
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2943,1,-10.619455,-91.170494,0.00000239,0.81429559,0.00002833,0.00053146,0.00005002,0.00002473,0.18506701,0.00000039
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2944,4,1.623466,44.803802,0.00056331,0.00016352,0.17608660,0.00324659,0.81931973,0.00002602,0.00003501,0.00055927
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2945,7,-88.676323,7.104204,0.00000011,0.00000001,0.00489666,0.00000039,0.00028805,0.00000000,0.00000003,0.99481481
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2946,3,41.875038,7.204206,0.00152489,0.00000028,0.00000000,0.00107178,0.00001512,0.99738795,0.00000005,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2947,6,-36.354191,-58.386749,0.00005821,0.02363717,0.32102659,0.00400186,0.01792441,0.00028851,0.63243586,0.00062740
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2948,3,74.185013,-43.509235,0.00073051,0.00021067,0.00000726,0.99726462,0.00144396,0.00033863,0.00000436,0.00000001
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2949,6,-41.877331,-65.467979,0.00000166,0.20666267,0.01268968,0.00066507,0.00021899,0.00003135,0.77969879,0.00003166
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2950,3,4.631360,41.946217,0.00216590,0.01575790,0.03002165,0.16173436,0.78073436,0.00053712,0.00362967,0.00541901
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2951,5,43.724213,3.781306,0.00001367,0.00002835,0.00000000,0.00021277,0.00000004,0.99972564,0.00001953,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2952,1,-42.597286,-65.015892,0.00000074,0.20449913,0.00001898,0.00010821,0.00000189,0.00016314,0.79520786,0.00000001
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2953,3,-11.441119,-75.820045,0.00052339,0.51988161,0.00066281,0.44455618,0.01671705,0.01038849,0.00727017,0.00000029
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2954,1,-18.735735,-82.705284,0.00009668,0.64887744,0.03328038,0.03191375,0.01036625,0.00021956,0.27488202,0.00036391
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2955,1,-15.242109,-87.887627,0.00000249,0.75654095,0.00001035,0.00051350,0.00001100,0.00012582,0.24279587,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2956,5,65.077957,41.862900,0.01523281,0.23212312,0.00006524,0.62450582,0.00827234,0.11586354,0.00393708,0.00000005
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2957,7,-94.771423,-11.954625,0.00000000,0.00000000,0.00050438,0.00000000,0.00000189,0.00000000,0.00000001,0.99949372
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2958,6,-54.411503,-47.931671,0.00000002,0.06033698,0.02044079,0.00010075,0.00000431,0.00000064,0.91911405,0.00000239
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2959,3,40.306698,22.655256,0.02574641,0.00000769,0.00000037,0.07956329,0.00026576,0.89441466,0.00000173,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2960,3,-7.419323,-92.342812,0.00001480,0.83945572,0.00000725,0.00564870,0.00001186,0.00033905,0.15452261,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2961,3,-42.656719,-61.079010,0.00063601,0.14043222,0.01373503,0.02593794,0.01987335,0.00494521,0.79442602,0.00001424
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2962,6,-34.316525,-65.275764,0.00008625,0.12797903,0.00001015,0.00262347,0.00003661,0.34328750,0.52597696,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2963,4,1.498121,44.719063,0.00020676,0.00007682,0.13161783,0.00947866,0.82452083,0.00000522,0.00001404,0.03407985
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2964,7,-94.793587,-4.505144,0.00003925,0.00000001,0.00077925,0.00000018,0.00059560,0.00000000,0.00000004,0.99858558
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2965,1,-13.213814,-89.309250,0.00046238,0.77848738,0.00002896,0.00514694,0.00118848,0.00348919,0.21119617,0.00000049
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2966,0,32.910980,23.441036,0.18553981,0.00029932,0.00000255,0.00395002,0.00267235,0.80750537,0.00003039,0.00000017
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2967,0,16.660658,20.235741,0.99535710,0.00000002,0.00000000,0.00082325,0.00007051,0.00374909,0.00000000,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2968,3,17.314306,25.854294,0.95952272,0.00000214,0.00000002,0.03494528,0.00180378,0.00372588,0.00000004,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2969,1,3.771661,-93.320930,0.00000012,0.91617495,0.00002739,0.00015233,0.00000064,0.00001149,0.08363307,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2970,6,-68.971916,-35.014736,0.00000004,0.01956509,0.00004568,0.00004444,0.00000125,0.00000202,0.98034132,0.00000011
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2971,1,-3.257681,-93.223282,0.00002975,0.87284249,0.00004117,0.00143806,0.00003059,0.00023905,0.12537894,0.00000001
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2972,5,39.081726,11.680582,0.00952582,0.00000052,0.00000000,0.00027709,0.00002232,0.99017441,0.00000001,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2973,3,74.563560,-27.557947,0.01438974,0.00003034,0.00000140,0.98209769,0.00263595,0.00084443,0.00000045,0.00000002
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2974,1,42.869747,13.196879,0.00027318,0.00744092,0.00000002,0.00207839,0.00002553,0.98639423,0.00378774,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2975,6,-57.224995,-38.118332,0.00000000,0.04689014,0.00015230,0.00000377,0.00000085,0.00000025,0.95295179,0.00000089
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,2976,7,-91.621239,1.069608,0.00000002,0.00000000,0.00234365,0.00000004,0.00005644,0.00000000,0.00000001,0.99759990
